eDeviceType,eTeleCommType,unDeviceId,ulTimeStamp,eServiceId,eActionType,eRegionId,ePayloadType,eCommId,usDbVer,usHwVer,usSwVer,ulPayloadLength,ulTxTimeStampL1,ulTxTimeStampL2,ulTxTimeStampL3,unTxDeviceIdL1,unTxDeviceIdL2,unTxDeviceIdL3,usTxSwVerL1,usTxSwVerL2,usTxSwVerL3,usTxHwVerL1,usTxHwVerL2,usTxHwVerL3,unRxTargetDeviceId,usTxFreq,ucTxPwr,ucTxBw,ucScs,ucMcs,usTxRatio,nTxLatitude,nTxLongitude,nTxAttitude,unSeqNum,unContCnt,unTxVehicleSpeed,unTxVehicleHeading,unTotalPacketCrc32,ulRxTimeStampL1,ulRxTimeStampL2,ulRxTimeStampL3,ulLatencyL1(us),ulLatencyL2(us),ulLatencyL3(us),unRxDeviceIdL1,unRxDeviceIdL2,unRxDeviceIdL3,usRxSwVerL1,usRxSwVerL2,usRxSwVerL3,usRxHwVerL1,usRxHwVerL2,usRxHwVerL3,unRxVehicleSpeed,unRxVehicleHeading,unTotalCommDevCnt,nRssi,ucRcpi,eRsvLevel,usCommDistance,nRxLatitude,nRxLongitude,nRxAttitude,ucErrIndicator,ulTotalPacketCnt,ulTotalErrCnt,unPdr(percent),unPer(percent)
1,31,23120008,2024110712425494841,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425494818,2022042904363233131,2024110712425494841,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,21,21,0,0,0xea83794c,2024110712425495677,2022042904311348885,2024110712425496069,859,-51884246,1228,-836521982,23120002,0,8704,204,1,1,40,1,0,110,1,-69,32,0,4294.967295,36.730100,127.439856,106.069656,0,21,0,100.000,0.000
1,31,23120008,2024110712425499852,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425499853,2022042904363238140,2024110712425499852,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,22,22,0,0,0xb8d9187c,2024110712425500485,2022042904311353691,2024110712425501113,632,-51884449,1261,-836521982,23120002,0,8704,204,1,1,40,1,0,111,1,-70,31,0,4294.967295,36.730100,127.439856,106.069448,0,22,0,100.000,0.000
1,31,23120008,2024110712425504864,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425504866,2022042904363243154,2024110712425504864,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,23,23,0,0,0x870e276e,2024110712425505578,2022042904311358786,2024110712425506152,712,-51884368,1288,-836521982,23120002,0,8704,204,1,1,40,1,0,111,1,-69,32,0,4294.967295,36.730100,127.439856,106.069216,0,23,0,100.000,0.000
1,31,23120008,2024110712425509875,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425509890,2022042904363248166,2024110712425509875,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,24,24,0,0,0x3f79d596,2024110712425510870,2022042904311364076,2024110712425512205,980,-51884090,2330,-836521982,23120002,0,8704,204,1,1,40,1,0,111,1,-71,30,0,4294.967295,36.730100,127.439856,106.068736,0,24,0,100.000,0.000
1,31,23120008,2024110712425514887,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425514906,2022042904363253178,2024110712425514887,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,25,25,0,0,0xc32fc106,2024110712425516076,2022042904311369288,2024110712425517249,1170,-51883890,2362,-836521982,23120002,0,8704,204,1,1,40,1,0,111,1,-70,31,0,4294.967295,36.730100,127.439848,106.068496,0,25,0,100.000,0.000
1,31,23120008,2024110712425519898,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425519914,2022042904363258186,2024110712425519898,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,26,26,0,0,0x944096,2024110712425520376,2022042904311373577,2024110712425521288,462,-51884609,1390,-836521982,23120002,0,8704,204,1,1,40,1,0,111,1,-69,32,0,4294.967295,36.730100,127.439848,106.068288,0,26,0,100.000,0.000
1,31,23120008,2024110712425524909,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425524916,2022042904363263200,2024110712425524909,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,27,27,0,0,0x26c2bcf2,2024110712425525776,2022042904311378984,2024110712425526330,860,-51884216,1421,-836521982,23120002,0,8704,204,1,1,40,1,0,111,1,-68,33,0,4294.967295,36.730100,127.439848,106.068248,0,27,0,100.000,0.000
1,31,23120008,2024110712425529920,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425529948,2022042904363268207,2024110712425529920,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,28,28,0,0,0x4c1ba4ce,2024110712425530883,2022042904311384091,2024110712425531390,935,-51884116,1470,-836521982,23120002,0,8704,204,1,1,40,1,0,111,1,-69,32,0,4294.967295,36.730100,127.439848,106.068200,0,28,0,100.000,0.000
1,31,23120008,2024110712425534930,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425534947,2022042904363273220,2024110712425534930,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,29,29,0,0,0x374785ee,2024110712425535976,2022042904311389182,2024110712425536418,1029,-51884038,1488,-836521982,23120002,0,8704,204,1,1,40,1,0,111,1,-70,31,0,4294.967295,36.730100,127.439848,106.068248,0,29,0,100.000,0.000
1,31,23120008,2024110712425539941,1,1,9,101,1,1.5,0x1,0x1,128,2024110712425539951,2022042904363278229,2024110712425539941,-836521977,23120008,0,8704,204,0,1,40,0,0,5915,20,20,15,10,50,0.000000,0.000000,0.000000,30,30,0,0,0x46db89a4,2024110712425540782,2022042904311393989,2024110712425541461,831,-51884240,1520,-836521982,23120002,0,8704,204,1,1,40,1,0,111,1,-68,33,0,4294.967295,36.730100,127.439848,106.068272,0,30,0,100.000,0.000
